Player ID,Numer of times made above 95th % in Total Points,Numer of times made above 95th % in PPV,Average of value,Value<50,50<=Value<=100,100<Value
114,4,3,80.08823529,#N/A,3,#N/A
308,4,3,48.33333333,3,#N/A,#N/A
18,4,3,76.42857143,#N/A,3,#N/A
339,3,3,56.58333333,#N/A,3,#N/A
221,3,3,52.85294118,#N/A,3,#N/A
272,7,3,117.5789474,#N/A,#N/A,3
46,4,3,46.52777778,3,#N/A,#N/A
148,5,3,58.16666667,#N/A,3,#N/A
232,7,3,58.97058824,#N/A,3,#N/A
282,7,3,92.26315789,#N/A,3,#N/A
29,3,3,43.19444444,3,#N/A,#N/A
65,2,3,49.86111111,3,#N/A,#N/A
236,3,3,48.26470588,3,#N/A,#N/A
4,7,3,114.8857143,#N/A,#N/A,3
137,3,3,57.11111111,#N/A,3,#N/A
305,5,3,52.60606061,#N/A,3,#N/A
243,4,3,53.26470588,#N/A,3,#N/A
310,3,3,48.87878788,3,#N/A,#N/A
138,3,3,56.5,#N/A,3,#N/A
325,3,3,49.83333333,3,#N/A,#N/A
254,15,3,124.3823529,#N/A,#N/A,3
343,2,3,56.02777778,#N/A,3,#N/A
255,8,3,71.88235294,#N/A,3,#N/A
266,3,3,54.13157895,#N/A,3,#N/A
506,4,2,49.94444444,2,#N/A,#N/A
406,2,2,42.66666667,2,#N/A,#N/A
405,5,2,48.55555556,2,#N/A,#N/A
428,1,2,57.25,#N/A,2,#N/A
626,2,2,64.45454545,#N/A,2,#N/A
437,2,2,54.55555556,#N/A,2,#N/A
515,3,2,53.63157895,#N/A,2,#N/A
438,2,2,52.44444444,#N/A,2,#N/A
540,2,2,45,2,#N/A,#N/A
439,4,2,48.33333333,2,#N/A,#N/A
615,2,2,73.83333333,#N/A,2,#N/A
446,2,2,43.33333333,2,#N/A,#N/A
490,2,2,48.36842105,2,#N/A,#N/A
345,5,2,71.44444444,#N/A,2,#N/A
511,4,2,52.69444444,#N/A,2,#N/A
356,1,2,42.52777778,2,#N/A,#N/A
517,2,2,53.16666667,#N/A,2,#N/A
457,3,2,70.97222222,#N/A,2,#N/A
528,2,2,50,#N/A,2,#N/A
458,2,2,43.97222222,2,#N/A,#N/A
544,3,2,45,2,#N/A,#N/A
476,2,2,49.88888889,2,#N/A,#N/A
603,2,2,43.92857143,2,#N/A,#N/A
349,3,2,48.91666667,2,#N/A,#N/A
619,2,2,51.5,#N/A,2,#N/A
486,4,2,48.28947368,2,#N/A,#N/A
488,8,2,92.10526316,#N/A,2,#N/A
534,2,2,44.42424242,2,#N/A,#N/A
196,2,2,58.16666667,#N/A,2,#N/A
183,13,2,64.69444444,#N/A,2,#N/A
124,3,2,50,#N/A,2,#N/A
110,2,2,66.61111111,#N/A,2,#N/A
5,2,2,49.07894737,2,#N/A,#N/A
54,0,2,48.94444444,2,#N/A,#N/A
12,5,2,93.21052632,#N/A,2,#N/A
221,2,2,52.07894737,#N/A,2,#N/A
81,2,2,49.02777778,2,#N/A,#N/A
222,2,2,52.28947368,#N/A,2,#N/A
185,3,2,52.94444444,#N/A,2,#N/A
129,0,2,57.44444444,#N/A,2,#N/A
50,2,2,58.16666667,#N/A,2,#N/A
58,3,2,50,#N/A,2,#N/A
104,4,2,59.94444444,#N/A,2,#N/A
160,6,2,53.30555556,#N/A,2,#N/A
203,8,2,57.92105263,#N/A,2,#N/A
246,1,2,49.30555556,2,#N/A,#N/A
69,2,2,52.61111111,#N/A,2,#N/A
116,2,2,55.5,#N/A,2,#N/A
127,2,2,43.47222222,2,#N/A,#N/A
251,3,2,53.33333333,#N/A,2,#N/A
139,1,2,49.05555556,2,#N/A,#N/A
100,2,2,54.05555556,#N/A,2,#N/A
67,3,2,75.91666667,#N/A,2,#N/A
163,2,2,43.22222222,2,#N/A,#N/A
77,2,2,59,#N/A,2,#N/A
31,4,2,55.80555556,#N/A,2,#N/A
142,3,2,53.69444444,#N/A,2,#N/A
256,2,2,43.41666667,2,#N/A,#N/A
303,2,2,54.19444444,#N/A,2,#N/A
85,1,2,43.5,2,#N/A,#N/A
305,3,2,48.36111111,2,#N/A,#N/A
330,3,2,52.44444444,#N/A,2,#N/A
83,4,2,50,#N/A,2,#N/A
10,2,2,44.78947368,2,#N/A,#N/A
